product_id;color;size;stock_qty;sku
1;black;35;5;ADI-BLK-35
1;black;36;12;ADI-BLK-36
1;black;37;25;ADI-BLK-37
1;black;38;3;ADI-BLK-38
1;white;35;45;ADI-WHT-35
1;white;36;15;ADI-WHT-36
1;white;37;13;ADI-WHT-37
2;red;35;15;NAM-RED-35
2;red;36;1;NAM-RED-36
2;red;37;9;NAM-RED-37
2;red;38;7;NAM-RED-38
2;white;35;23;NAM-WHT-35
6;black;36;12;FTF-BLA-36-C3AA
3; brown;35;14;XXX-BRO-35-1DD1
3;black;34;12;XXX-BLA-34-CA90
3;brown;35;13;XXX-BRO-35-D9A9
2;white;41;26;NAM-WHT-41
2;white;42;115;NAM-WHT-42
3;white;37;14;NAM-WHT-37
7;black;38;15;MAR-BLA-38-5B76
7;red;38;11;MAR-RED-38-F185
